자치구,폭염위험도점수,위험등급,쉼터수,문화행사수,평균기온,최고기온,평균체감온도,최고체감온도,수급권자수,방문자수,폭염특보_서울발표건수,수급권자_천명당_쉼터수,1만명당_쉼터수,쉼터_상태,쉼터_부족_순위,수급권자_천명당_쉼터수_정규화,쉼터_부족도,기온_위험도,체감온도_위험도,기온_위험도_정규화,체감온도_위험도_정규화,폭염특보_위험도,인구수,수급권자수_정규화,취약지역_분석지표,취약지역_순위
중구,50.62,보통,70,395,27.03,37.6,31.3,37.1,2138,4708419,7,32.74087932647334,5.449845847217464,쉼터 양호,,0.5459087110621657,0.45409128893783435,0.0,1.3000000000000007,0,0,75,128444,0.0,0.18163651557513374,20
관악구,50.42,보통,141,68,27.03,37.6,31.3,37.1,7746,1206656,7,18.202943454686288,2.8347919443657004,쉼터 부족,3순위,0.20159372007197274,0.7984062799280273,0.0,1.3000000000000007,0,0,75,497391,0.5590668926328382,0.48708257976106234,7
금천구,49.91,보통,95,66,27.03,37.6,31.3,37.1,5733,1855122,7,16.57073085644514,3.9989560619964473,쉼터 부족,10순위,0.16293656330543946,0.8370634366945605,0.0,1.3000000000000007,0,0,75,237562,0.3583889941182335,0.4423420729132943,10
강동구,48.56,보통,232,43,27.03,37.6,31.3,37.1,7761,2126806,7,29.89305501868316,4.603202003186527,쉼터 양호,,0.4784611305028565,0.5215388694971435,0.0,1.3000000000000007,0,0,75,503997,0.5605622570032898,0.3767842248998443,13
송파구,46.67,보통,208,177,27.03,37.6,31.3,37.1,7305,1410286,7,28.473648186173854,3.2011869016050567,쉼터 부족,5순위,0.4448440437955683,0.5551559562044317,0.0,1.3000000000000007,0,0,75,649759,0.5151031801415612,0.37659333652424104,14
구로구,45.4,보통,265,151,27.03,37.6,31.3,37.1,6749,2639867,7,39.26507630760113,6.491311440875176,쉼터 양호,,0.7004271271967889,0.2995728728032111,0.0,1.3000000000000007,0,0,75,408238,0.45967500747682183,0.25773165136433096,18
동대문구,42.88,낮음,111,63,27.03,37.6,31.3,37.1,6374,0,7,17.414496391590838,3.0251578669094057,쉼터 부족,4순위,0.182920220214762,0.817079779785238,0.0,1.3000000000000007,0,0,75,366923,0.42229089821553184,0.4535191813787548,9
동작구,42.05,낮음,168,45,27.03,37.6,31.3,37.1,4841,2497341,7,34.70357364180954,4.371800843653472,쉼터 부족,13순위,0.5923929631225249,0.4076070368774751,0.0,1.3000000000000007,0,0,75,384281,0.26946465955537835,0.24388221261760357,19
서대문구,36.99,낮음,140,83,27.03,37.6,31.3,37.1,5199,177831,7,26.92825543373726,4.418745581254419,쉼터 부족,15순위,0.40824311940546043,0.5917568805945396,0.0,1.3000000000000007,0,0,75,316832,0.3051540225301565,0.3282489589968628,16
성북구,35.95,낮음,277,58,27.03,37.6,31.3,37.1,7529,0,7,36.791074511887366,6.331486459304771,쉼터 양호,,0.6418331209008873,0.3581668790991127,0.0,1.3000000000000007,0,0,75,437496,0.5374339547403051,0.3044969380617366,17
종로구,34.51,낮음,116,1000,27.03,37.6,31.3,37.1,2331,1242426,7,49.764049764049766,7.79501790838166,쉼터 양호,,0.9490837441295079,0.05091625587049209,0.0,1.3000000000000007,0,0,75,148813,0.01924035489981059,0.026138608818140015,25
서초구,33.89,낮음,149,268,27.03,37.6,31.3,37.1,3247,2024359,7,45.88851247305205,3.5535839921773453,쉼터 부족,9순위,0.8572959140551134,0.1427040859448866,0.0,1.3000000000000007,0,0,75,419295,0.1105572724553883,0.09024881611457113,22
성동구,26.75,낮음,217,146,27.03,37.6,31.3,37.1,4180,876994,7,51.91387559808613,7.675601491259719,쉼터 양호,,1.0,0.0,0.0,1.3000000000000007,0,0,75,282714,0.20356893629747783,0.06107068088924335,24
